Name,Cuisine,Link to Instagram Post,Link to Website,Location(s),Meal Type,Overall Rating,Price (pp),Size Rating 😍,Standout Menu Items,Vibes,Visited?
Kurtosh,Hungarian,N/A,https://kurtosh.com.au/,"Crows Nest, Darling Square, Haymarket, Marrickville, Randwick, Surry Hills",Dessert,9,$,7,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Garcon,,N/A,,,,,,,,,No
Marrickville Pork Roll,Vietnamese,N/A,,Marrickville,Lunch,8,$,9,"BBQ Pork Roll, Pork Roll","Casual Dining, Takeaway",Yes
Nam Fong,Vietnamese,N/A,,Bankstown,Lunch,8,$,9,BBQ Pork Roll,"Casual Dining, Takeaway",Yes
Italian Street Kitchen,Italian,N/A,https://italianstreetkitchen.com/au/,Neutral Bay,"Dinner, Lunch",9,$$,8,,"Casual Dining, Dine-In, Small Groups",Yes
Marilynas,Italian,N/A,https://www.marilynasfamouspizza.com.au/,Cremorne,"Dinner, Lunch",8,$$,8,,"Casual Dining, Takeaway",Yes
Sails @ Lavendar Bay,French,N/A,https://www.sailslavenderbay.com/?gclid=CjwKCAiApfeQBhAUEiwA7K_UH2BvwEy755jdkJTNBvBurkFuTh0hHGjX-cGC_H4xN_ZFGme90ZvvIRoC75wQAvD_BwE,Lavendar Bay,"Dinner, Lunch",9,$$$$,8,,"Date, Dine-In, Fine Dining, Small Groups",Yes
Ho Jiak,Malaysian,N/A,https://www.hojiak.com.au/,"CBD, Haymarket","Dinner, Lunch",7,$$,8,Chicken Laksa,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Kowloon Cafe,Chinese,N/A,https://www.kowlooncafe.com.au/,CBD,"Dinner, Lunch",8,$,7,,"Casual Dining, Dine-In, Small Groups",Yes
"Royal Treasure Seafood Restaurant ",Chinese,N/A,https://www.royaltreasure.com.au/,Burwood,Lunch,7,$$,8,Yum Cha,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Bay Vista,Cafe,N/A,https://www.bayvista.com.au/,"Brighton Le Sands, Parramatta","Dessert, Lunch",8,$$,9,,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
